Stats
Name,Value,Growth
Active Armor,1,1.25
Adaptive Attack,1.45,1.75
Agility,1,1.25
Armor,1.25,1.25
Armor Damage,1,1.25
Armor,1,1.25
Armor Shields,18,1.75
Armored Attack,1.45,2.45
Cinder Damage,1.75,2.15
Combat,1.25,1.45
Confusion Attack,1,1.25
Crit Chance,1,1.25
Critical Damage,0.75,1.25
Dazzle,3.25,1.25
Dazzle Damage,3.25,1.25
Electric Damage,1,1
Electricity,1.75,1.45
Elemental Power,1.25,1.75
Energy,1,1.25
Faith,1.45,1.75
Freeze Attack,1.26,1.36
Freeze Damage,1,1
Gold,1,1
Gold Gain,1,1.25
Heal Power,1,1
Health,1,1.25
Insight,2.75,1.45
Life Steal,1,1.75
Magic Attack,1.25,1.45
Magic Damage,1,1
Malice,1.45,1.25
Malice Damage,1,1
Mana,1,1
Max Energy,1.45,2.15
Max Health,1.45,1.25
Max Mana,1,1
Omni Crit Chance,1,1.25
Omni Vamp,1.75,2.75
Penetration,1,1
Physical Attack,1.45,1.75
Physical Damage,1,1
Poison Damage,1,1
Power,1.25,1.75
Precision,1,1.25
Recovery,2.15,1.45
Total Attacks,14.75,2.45
Toughness,1,1.25
Toxicity,1.45,1.75
True Damage,1,1.25
Wisdom,1.17,1.45

Items
Name,Set,Price,Market Level,Stats
Armored Spirit,5,Max Health: 7   Total Attacks: 2   Physical Attack: 2   Armor: 3   
Venomous Spider,6,Max Health: 15   Total Attacks: 1   Toxicity: 5   Physical Attack: 2   Max Mana: 1   
Snow Wraith,6,Max Health: 10   Max Mana: 2   Physical Attack: 5   
Harpy,6,Max Health: 10   Physical Attack: 5   Max Energy: 4   Agility: 3   
Red Orc,6,Max Health: 13   Physical Attack: 3   Max Energy: 3   
Bravura,7,Max Health: 5   Penetration: 4   Total Attacks: 3   Physical Attack: 3   Recovery: 2   
Fire Dragon,7,Max Health: 9   Physical Attack: 5   Armor: 4   
Void Squid,8,Max Health: 15   Max Mana: 2   Physical Attack: 4   
Overseer,9,Max Health: 10   Armor: 7   Dazzle: 5   Physical Attack: 3   Total Attacks: 2   
Magma Golem,9,Max Health: 14   Armor: 6   Physical Attack: 4   Cinder Damage: 2   
Kotya,9,Max Health: 12   Physical Attack: 5   Armor: 5   
Cloud Dragon,10,Max Health: 10   Total Attacks: 2   Max Mana: 2   Armor: 7   Physical Attack: 8   
Morizon,11,Max Health: 8   Max Mana: 3   Magic Attack: 7   
Moon,11,Max Health: 25   Max Mana: 3   Physical Attack: 10   Armor: 5   
Blinded Priest,11,Max Health: 5   Max Mana: 3   Magic Attack: 1   
Pinto,13,Physical Attack: 7   Max Health: 5   Total Attacks: 1   
Mars,13,Max Health: 15   Max Mana: 3   Physical Attack: 25   Armor: 3   Precision: 5   
Neptune,15,Max Health: 45   Max Mana: 2   Physical Attack: 25   Armor: 15   
Venus,17,Max Health: 25   Max Mana: 3   Physical Attack: 15   Armor: 45   
Jupiter,20,Max Health: 64   Magic Attack: 25   Total Attacks: 4   Max Energy: 2   
Saturn,21,Max Health: 85   Max Mana: 3   Armor: 50   Physical Attack: 18   Penetration: 45   Armor Shields: 3   
Death,30,Max Health: 125   Max Mana: 3   Physical Attack: 75   Total Attacks: 3   
Perfect Slave,60,Max Health: 125   Physical Attack: 85   Recovery: 45   Total Attacks: 6   Max Mana: 1   

Abilities
Name
Noxious Empowerment,
Persistent Payback,
Enchanted attack,
Multi Magic Shield,
Shatter Strike,
Double Attack,
Triple Attack,
Multi Cleanse,
Confusion Strike,
Frozen Wind,
Frozen Strike,
Stun Attack,
Galefire,
Drain,
Spell Bind,
Evil Mark,
Death Strike,
Touch of Eden,
Venom Spit,
Drop of Chaos,
Fear of Faith,
Mind Control,
Multi Shield,
Toxic Smoke,
Multi Heal,
Safeguard,
Harness,
Barrier,
Purify,
Mana Regen,
Mimicry,
Steal,

Status Effects
Name
Weakness,
Curse,
Stun,
Slowness,
Confusion,
Silence,
Poison,
Sparkle,
Magic Shield,
Ephemeral Armor,
Electro Charge,
Ephemeral Lock,
Exhaustion,
Armor Shield,
Freeze,
Invulnerability,
Inherited Sin,
Arthur's Mark,
Timeout,
Greedy,
Combat Insight,
Magic Blitz,
Omni Blitz,
Vimblow,
Fury,
Debuff Immunity,
Golden Heart,
Golden Lock,
Lethality,
Curse of the Tower,

Adventurers
Name, Gold Gain, Stats
Fren,Max Health: 7   Max Energy: 5   Total Attacks: 2   Physical Attack: 1   Max Energy: 25   
Pyry,Max Health: 8   Max Mana: 3   Magic Attack: 2   Total Attacks: 1   Magic Attack: 25   
Sid,Max Health: 10   Max Energy: 4   Total Attacks: 1   Physical Attack: 2   Physical Attack: 25   
Elys,Max Health: 7   Physical Attack: 1   Max Mana: 3   Total Attacks: 1   Max Health: 25   
Fael,Max Health: 10   Max Mana: 2   Total Attacks: 2   Physical Attack: 2   Combat: 25   
Tyr,Max Health: 20   Max Mana: 3   Physical Attack: 1   Total Attacks: 1   Armor: 45   
Viran,Max Health: 5   Max Mana: 2   Total Attacks: 2   Toxicity: 3   Physical Attack: 1   Toxicity: 45   
Kinno,Max Health: 5   Max Mana: 3   Max Energy: 3   Magic Attack: 3   Total Attacks: 1   Magic Attack: 45   
Riel,Max Health: 9   Max Mana: 2   Total Attacks: 1   Magic Attack: 1   Adaptive Attack: 25   
Jace,Max Health: 10   Total Attacks: 1   Max Mana: 2   Physical Attack: 2   Toughness: 25   

Keystones
Name, Gold Gain, Description
Blank,
Tranquility,
Prodigality,
Frailty,
Honor,
Swarm,
Chaos,

Stats
Name, Gold Gain, Amount
